data_element,group,status,format_length,national_codes,link
LESION DIAMETER GREATER THAN 20MM INDICATION CODE,Pathology,R,an1,See LESION DIAMETER GREATER THAN 20MM INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/le/lesion_diameter_greater_than_20mm_indication_code_de.asp?shownav=0
TUMOUR INVASION INDICATOR (PT3),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(pt3)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (PT4),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(pt4)_de.asp?shownav=0
CLARKS LEVEL IV INDICATION CODE,Pathology,R,an1,See CLARKS LEVEL IV INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/c/cl/clarks_level_iv_indication_code_de.asp?shownav=0
LESION VERTICAL THICKNESS GREATER THAN 2MM INDICATION CODE,Pathology,R,an1,See LESION VERTICAL THICKNESS GREATER THAN 2MM INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/l/le/lesion_vertical_thickness_greater_than_2mm_indication_code_de.asp?shownav=0
ULCERATION INDICATION CODE,Pathology,R,an1,See ULCERATION INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/u/ulceration_indication_code_de.asp?shownav=0
MITOTIC RATE (SKIN),Pathology,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/mitotic_rate_(skin)_de.asp?shownav=0
MICROSATELLITE OR IN-TRANSIT METASTASIS INDICATION CODE,Pathology,R,an1,See MICROSATELLITE OR IN-TRANSIT METASTASIS INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/mhmd/microsatellite_or_in-transit_metastasis_indication_code_de.asp?shownav=0
TUMOUR REGRESSION INDICATION CODE,Pathology,R,an1,See TUMOUR REGRESSION INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_regression_indication_code_de.asp?shownav=0
BRESLOW THICKNESS,Pathology,R,max n2.max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/b/br/breslow_thickness_de.asp?shownav=0
TUMOUR INFILTRATING LYMPHOCYTE TYPE,Pathology,R,an1,See TUMOUR INFILTRATING LYMPHOCYTE TYPE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_infiltrating_lymphocyte_type_de.asp?shownav=0
NUMBER OF SENTINEL NODES SAMPLED,Pathology,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_sentinel_nodes_sampled_de.asp?shownav=0
NUMBER OF SENTINEL NODES POSITIVE,Pathology,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_sentinel_nodes_positive_de.asp?shownav=0
NUMBER OF NODES SAMPLED (POST SENTINEL NODE COMPLETION LYMPHADENECTOMY),Pathology,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_sampled_(post_sentinel_node_completion_lymphadenectomy)_de.asp?shownav=0
NUMBER OF NODES POSITIVE (POST SENTINEL NODE COMPLETION LYMPHADENECTOMY),Pathology,R,max n2,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_nodes_positive_(post_sentinel_node_completion_lymphadenectomy)_de.asp?shownav=0
NUMBER OF COLORECTAL METASTASES IN LIVER CODE,Pathology,R,an1,See NUMBER OF COLORECTAL METASTASES IN LIVER CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/n/nu/number_of_colorectal_metastases_in_liver_code_de.asp?shownav=0
MARGIN INVOLVED INDICATION CODE (POSITIVE PROXIMAL OR DISTAL RESECTION MARGIN),Pathology,R,an1,See MARGIN INVOLVED INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/margin_involved_indication_code_(positive_proximal_or_distal_resection_margin)_de.asp?shownav=0
MARGIN INVOLVED INDICATION CODE (CIRCUMFERENTIAL MARGIN),Pathology,R,an1,See MARGIN INVOLVED INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/m/margin_involved_indication_code_(circumferential_margin)_de.asp?shownav=0
DETRUSOR MUSCLE PRESENCE INDICATION CODE,Pathology,R,an1,See DETRUSOR MUSCLE PRESENCE INDICATION CODE,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/d/del/detrusor_muscle_presence_indication_code_de.asp?shownav=0
TUMOUR GRADE (UROLOGY),Pathology,R,an1,See TUMOUR GRADE FOR UROLOGY,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_grade_(urology)_de.asp?shownav=0
TUMOUR NECROSIS INDICATOR,Pathology,R,an1,See TUMOUR NECROSIS INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_necrosis_indicator_de.asp?shownav=0
TUMOUR INVASION INDICATOR (PERINEPHRIC FAT),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(perinephric_fat)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (ADRENAL),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(adrenal)_de.asp?shownav=0
RENAL VEIN TUMOUR INDICATOR,Pathology,R,an1,See RENAL VEIN TUMOUR INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/r/ren/renal_vein_tumour_indicator_de.asp?shownav=0
TUMOUR INVASION INDICATOR (GEROTAS FASCIA),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(gerotas_fascia)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (CORPUS SPONGIOSUM),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(corpus_spongiosum)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (CORPUS CAVERNOSUM),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(corpus_cavernosum)_de.asp?shownav=0
TUMOUR INVASION INDICATOR (URETHRA OR PROSTATE),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(urethra_or_prostate)_de.asp?shownav=0
GLEASON GRADE (PRIMARY),Pathology,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gl/gleason_grade_(primary)_de.asp?shownav=0
GLEASON GRADE (SECONDARY),Pathology,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gl/gleason_grade_(secondary)_de.asp?shownav=0
GLEASON GRADE (TERTIARY),Pathology,R,an1,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/g/gl/gleason_grade_(tertiary)_de.asp?shownav=0
PERINEURAL INVASION INDICATOR,Pathology,R,an1,See PERINEURAL INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/p/pe/perineural_invasion_indicator_de.asp?shownav=0
ORGAN CONFINED INDICATOR,Pathology,R,an1,See ORGAN CONFINED INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/o/org/organ_confined_indicator_de.asp?shownav=0
TUMOUR INVASION INDICATOR (SEMINAL VESICLES),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(seminal_vesicles)_de.asp?shownav=0
TURP TUMOUR PERCENTAGE,Pathology,R,max n3,"",https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/turp_tumour_percentage_de.asp?shownav=0
TUMOUR INVASION INDICATOR (RETE TESTIS),Pathology,R,an1,See TUMOUR INVASION INDICATOR,https://datadictionary.nhs.uk/data_dictionary/data_field_notes/t/tu/tumour_invasion_indicator_(rete_testis)_de.asp?shownav=0
